Date,Dollar
2013-02-11,80.31
2013-02-12,80.11
2013-02-13,80.09
2013-02-14,80.46
2013-02-15,80.58
2013-02-18,80.58
2013-02-19,80.47
2013-02-20,81.07
2013-02-21,81.46
2013-02-22,81.46
2013-02-25,81.67
2013-02-26,81.87
2013-02-27,81.6
2013-02-28,81.95
2013-03-01,82.28
2013-03-04,82.19
2013-03-05,82.09
2013-03-06,82.46
2013-03-07,82.08
2013-03-08,82.72
2013-03-11,82.57
2013-03-12,82.58
2013-03-13,82.89
2013-03-14,82.61
2013-03-15,82.13
2013-03-18,82.69
2013-03-19,82.99
2013-03-20,82.78
2013-03-21,82.74
2013-03-22,82.53
2013-03-25,82.83
2013-03-26,82.88
2013-03-27,83.22
2013-03-28,82.99
2013-03-29,83.22
2013-04-01,82.73
2013-04-02,82.92
2013-04-03,82.72
2013-04-04,82.68
2013-04-05,82.5
2013-04-08,82.75
2013-04-09,82.31
2013-04-10,82.53
2013-04-11,82.25
2013-04-12,82.13
2013-04-15,82.42
2013-04-16,81.75
2013-04-17,82.68
2013-04-18,82.56
2013-04-19,82.71
2013-04-22,82.68
2013-04-23,83.05
2013-04-24,83.05
2013-04-25,82.74
2013-04-26,82.47
2013-04-29,82.15
2013-04-30,81.75
2013-05-01,81.48
2013-05-02,82.22
2013-05-03,82.1
2013-05-06,82.31
2013-05-07,82.25
2013-05-08,81.9
2013-05-09,82.79
2013-05-10,83.14
2013-05-13,83.28
2013-05-14,83.59
2013-05-15,83.83
2013-05-16,83.59
2013-05-17,84.25
2013-05-20,83.74
2013-05-21,83.86
2013-05-22,84.35
2013-05-23,83.8
2013-05-24,83.7
2013-05-27,83.7
2013-05-28,84.1
2013-05-29,83.66
2013-05-30,83.04
2013-05-31,83.26
2013-06-03,82.66
2013-06-04,82.77
2013-06-05,82.59
2013-06-06,81.54
2013-06-07,81.67
2013-06-10,81.65
2013-06-11,81.11
2013-06-12,80.95
2013-06-13,80.75
2013-06-14,80.62
2013-06-17,80.79
2013-06-18,80.61
2013-06-19,81.43
2013-06-20,81.92
2013-06-21,82.41
2013-06-24,82.42
2013-06-25,82.58
2013-06-26,82.98
2013-06-27,82.9
2013-06-28,83.14
2013-07-01,83.05
2013-07-02,83.54
2013-07-03,83.23
